variant_id,ticker,provider,metric,actual,expected,delta,delta_pct
aapl-financialdatasets-rest,AAPL,Financial Datasets,revenue,111184000000,111184000000,0,0.0
aapl-financialdatasets-rest,AAPL,Financial Datasets,net_income,29578000000,29578000000,0,0.0
aapl-financialdatasets-rest,AAPL,Financial Datasets,total_assets,371082000000,371082000000,0,0.0
aapl-financialdatasets-rest,AAPL,Financial Datasets,operating_cash_flow,28702000000,28702000000,0,0.0
aapl-financialdatasets-rest,AAPL,Financial Datasets,capital_expenditures,1971000000,1971000000,0,0.0
aapl-financialdatasets-rest,AAPL,Financial Datasets,free_cash_flow,26731000000,26731000000,0,0.0
aapl-sec-edgar,AAPL,SEC EDGAR,revenue,111184000000,111184000000,0,0.0
aapl-sec-edgar,AAPL,SEC EDGAR,net_income,29578000000,29578000000,0,0.0
aapl-sec-edgar,AAPL,SEC EDGAR,total_assets,371082000000,371082000000,0,0.0
aapl-sec-edgar,AAPL,SEC EDGAR,operating_cash_flow,28702000000,28702000000,0,0.0
aapl-sec-edgar,AAPL,SEC EDGAR,capital_expenditures,1971000000,1971000000,0,0.0
aapl-sec-edgar,AAPL,SEC EDGAR,free_cash_flow,26731000000,26731000000,0,0.0
cost-financialdatasets-rest,COST,Financial Datasets,revenue,67307000000,69597000000,-2290000000,-0.03290371711424343
cost-financialdatasets-rest,COST,Financial Datasets,net_income,2001000000,2035000000,-34000000,-0.016707616707616706
cost-financialdatasets-rest,COST,Financial Datasets,total_assets,82790000000,83639000000,-849000000,-0.010150766986692811
cost-financialdatasets-rest,COST,Financial Datasets,operating_cash_flow,4688000000,2996000000,1692000000,0.5647530040053405
cost-financialdatasets-rest,COST,Financial Datasets,capital_expenditures,1526000000,1289000000,237000000,0.18386346004654772
cost-financialdatasets-rest,COST,Financial Datasets,free_cash_flow,3162000000,1707000000,1455000000,0.8523725834797891
cost-sec-edgar,COST,SEC EDGAR,revenue,69597000000,69597000000,0,0.0
cost-sec-edgar,COST,SEC EDGAR,net_income,2035000000,2035000000,0,0.0
cost-sec-edgar,COST,SEC EDGAR,total_assets,83639000000,83639000000,0,0.0
cost-sec-edgar,COST,SEC EDGAR,operating_cash_flow,2996000000,2996000000,0,0.0
cost-sec-edgar,COST,SEC EDGAR,capital_expenditures,1289000000,1289000000,0,0.0
cost-sec-edgar,COST,SEC EDGAR,free_cash_flow,1707000000,1707000000,0,0.0
googl-financialdatasets-rest,GOOGL,Financial Datasets,revenue,109896000000,109896000000,0,0.0
googl-financialdatasets-rest,GOOGL,Financial Datasets,net_income,62578000000,62578000000,0,0.0
googl-financialdatasets-rest,GOOGL,Financial Datasets,total_assets,703919000000,703919000000,0,0.0
googl-financialdatasets-rest,GOOGL,Financial Datasets,operating_cash_flow,45790000000,45790000000,0,0.0
googl-financialdatasets-rest,GOOGL,Financial Datasets,capital_expenditures,35674000000,35674000000,0,0.0
googl-financialdatasets-rest,GOOGL,Financial Datasets,free_cash_flow,10116000000,10116000000,0,0.0
googl-sec-edgar,GOOGL,SEC EDGAR,revenue,109896000000,109896000000,0,0.0
googl-sec-edgar,GOOGL,SEC EDGAR,net_income,62578000000,62578000000,0,0.0
googl-sec-edgar,GOOGL,SEC EDGAR,total_assets,703919000000,703919000000,0,0.0
googl-sec-edgar,GOOGL,SEC EDGAR,operating_cash_flow,45790000000,45790000000,0,0.0
googl-sec-edgar,GOOGL,SEC EDGAR,capital_expenditures,35674000000,35674000000,0,0.0
googl-sec-edgar,GOOGL,SEC EDGAR,free_cash_flow,10116000000,10116000000,0,0.0
jnj-financialdatasets-rest,JNJ,Financial Datasets,revenue,24062000000,24062000000,0,0.0
jnj-financialdatasets-rest,JNJ,Financial Datasets,net_income,5235000000,5235000000,0,0.0
jnj-financialdatasets-rest,JNJ,Financial Datasets,total_assets,200894000000,200894000000,0,0.0
jnj-financialdatasets-rest,JNJ,Financial Datasets,operating_cash_flow,2514000000,2514000000,0,0.0
jnj-financialdatasets-rest,JNJ,Financial Datasets,capital_expenditures,1049000000,1049000000,0,0.0
jnj-financialdatasets-rest,JNJ,Financial Datasets,free_cash_flow,1465000000,1465000000,0,0.0
jnj-sec-edgar,JNJ,SEC EDGAR,revenue,24062000000,24062000000,0,0.0
jnj-sec-edgar,JNJ,SEC EDGAR,net_income,5235000000,5235000000,0,0.0
jnj-sec-edgar,JNJ,SEC EDGAR,total_assets,200894000000,200894000000,0,0.0
jnj-sec-edgar,JNJ,SEC EDGAR,operating_cash_flow,2514000000,2514000000,0,0.0
jnj-sec-edgar,JNJ,SEC EDGAR,capital_expenditures,1049000000,1049000000,0,0.0
jnj-sec-edgar,JNJ,SEC EDGAR,free_cash_flow,1465000000,1465000000,0,0.0
meta-financialdatasets-rest,META,Financial Datasets,revenue,56311000000,56311000000,0,0.0
meta-financialdatasets-rest,META,Financial Datasets,net_income,26773000000,26773000000,0,0.0
meta-financialdatasets-rest,META,Financial Datasets,total_assets,395250000000,395250000000,0,0.0
meta-financialdatasets-rest,META,Financial Datasets,operating_cash_flow,32226000000,32226000000,0,0.0
meta-financialdatasets-rest,META,Financial Datasets,capital_expenditures,18997000000,18997000000,0,0.0
